activity_id,activity_name,park_id
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
D37A0003-8317-4F04-8FB0-4CF0A272E195,Stargazing,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
1DFACD97-1B9C-4F5A-80F2-05593604799E,Food,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
C6D3230A-2CEA-4AFE-BFF3-DC1E2C2C4BB4,Picnicking,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
43800AD1-D439-40F3-AAB3-9FB651FE45BB,Gift Shop and Souvenirs,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
FAED7F97-3474-4C21-AB42-FB0768A2F826,Cultural Demonstrations,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
D37A0003-8317-4F04-8FB0-4CF0A272E195,Stargazing,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
7CFF5F03-5ECC-4F5A-8572-75D1F0976C0C,Group Camping,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
B12FAAB9-713F-4B38-83E4-A273F5A43C77,Climbing,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
87D3B1CD-3903-4561-ABB1-2DD870C43F2F,Rock Climbing,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
