,sci_name_id,sci_name
0,0,Alces alces
1,1,Odocoileus virginianus
2,2,Canis latrans
3,3,Vulpes vulpes
4,4,Lutra canadensis
5,5,Martes pennanti
6,6,Mustela erminea
7,7,Mustela frenata
8,8,Mustela vison
9,9,Procyon lotor
10,10,Ursus americanus
11,11,Eptesicus fuscus
12,12,Lasionycteris noctivagans
13,13,Lasiurus borealis
14,14,Lasiurus cinereus
15,15,Myotis keenii
16,16,Myotis lucifugus
17,17,Lepus americanus
18,18,Castor canadensis
19,19,Clethrionomys gapperi
20,20,Peromyscus leucopus
21,21,Peromyscus maniculatus
22,22,Synaptomys cooperi
23,23,Napaeozapus insignis
24,24,Zapus hudsonius
25,25,Erethizon dorsatum
26,26,Glaucomys sabrinus
27,27,Marmota monax
28,28,Sciurus carolinensis
29,29,Tamias striatus
30,30,Tamiasciurus hudsonicus
31,31,Blarina brevicauda
32,32,Sorex cinereus
33,33,Sorex fumeus
34,34,Sorex hoyi
35,35,Sorex palustris
36,36,Condylura cristata
37,37,Accipiter cooperii
38,38,Accipiter gentilis
39,39,Accipiter striatus
40,40,Aquila chrysaetos
41,41,Buteo jamaicensis
42,42,Buteo lagopus
43,43,Buteo lineatus
44,44,Buteo platypterus
45,45,Circus cyaneus
46,46,Haliaeetus leucocephalus
47,47,Cathartes aura
48,48,Pandion haliaetus
49,49,Aix sponsa
50,50,Anas acuta
51,51,Anas americana
52,52,Anas crecca
53,53,Anas discors
54,54,Anas penelope
55,55,Anas platyrhynchos
56,56,Anas rubripes
57,57,Anas strepera
58,58,Anser albifrons
59,59,Aythya collaris
60,60,Aythya marila
61,61,Aythya valisineria
62,62,Branta canadensis
63,63,Bucephala albeola
64,64,Bucephala clangula
65,65,Chen caerulescens
66,66,Histrionicus histrionicus
67,67,Lophodytes cucullatus
68,68,Mergus merganser
69,69,Mergus serrator
70,70,Somateria mollissima
71,71,Chaetura pelagica
72,72,Archilochus colubris
73,73,Caprimulgus vociferus
74,74,Chordeiles minor
75,75,Cepphus grylle
76,76,Charadrius vociferus
77,77,Pluvialis squatarola
78,78,Larus argentatus
79,79,Larus atricilla
80,80,Larus delawarensis
81,81,Larus marinus
82,82,Sterna hirundo
83,83,Recurvirostra americana
84,84,Actitis macularia
85,85,Arenaria interpres
86,86,Bartramia longicauda
87,87,Calidris fuscicollis
88,88,Calidris maritima
89,89,Calidris melanotos
90,90,Calidris minutilla
91,91,Calidris pusilla
92,92,Gallinago gallinago
93,93,Limnodromus griseus
94,94,Numenius phaeopus
95,95,Scolopax minor
96,96,Tringa flavipes
97,97,Tringa melanoleuca
98,98,Tringa solitaria
99,99,Zenaida macroura
100,100,Ceryle alcyon
101,101,Coccyzus americanus
102,102,Coccyzus erythropthalmus
103,103,Falco columbarius
104,104,Falco peregrinus
105,105,Falco rusticolus
106,106,Falco sparverius
107,107,Bonasa umbellus
108,108,Falcipennis canadensis
109,109,Gavia immer
110,110,Fulica americana
111,111,Gallinula chloropus
112,112,Porphyrula martinica
113,113,Porzana carolina
114,114,Rallus limicola
115,115,Eremophila alpestris
116,116,Bombycilla cedrorum
117,117,Bombycilla garrulus
118,118,Plectrophenax nivalis
119,119,Passerina cyanea
120,120,Pheucticus ludovicianus
121,121,Piranga olivacea
122,122,Certhia americana
123,123,Corvus brachyrhynchos
124,124,Corvus corax
125,125,Cyanocitta cristata
126,126,Perisoreus canadensis
127,127,Ammodramus nelsoni
128,128,Junco hyemalis
129,129,Melospiza georgiana
130,130,Melospiza lincolnii
131,131,Melospiza melodia
132,132,Passerculus sandwichensis
133,133,Pipilo erythrophthalmus
134,134,Pooecetes gramineus
135,135,Spizella arborea
136,136,Spizella passerina
137,137,Spizella pusilla
138,138,Zonotrichia albicollis
139,139,Carduelis pinus
140,140,Carduelis tristis
141,141,Carpodacus mexicanus
142,142,Carpodacus purpureus
143,143,Loxia curvirostra
144,144,Loxia leucoptera
145,145,Hirundo rustica
146,146,Petrochelidon pyrrhonota
147,147,Progne subis
148,148,Stelgidopteryx serripennis
149,149,Tachycineta bicolor
150,150,Agelaius phoeniceus
151,151,Euphagus carolinus
152,152,Icterus galbula
153,153,Molothrus ater
154,154,Quiscalus quiscula
155,155,Sturnella magna
156,156,Dumetella carolinensis
157,157,Toxostoma rufum
158,158,Anthus rubescens
159,159,Poecile atricapillus
160,160,Poecile hudsonicus
161,161,Dendroica caerulescens
162,162,Dendroica castanea
163,163,Dendroica coronata
164,164,Dendroica discolor
165,165,Dendroica dominica
166,166,Dendroica fusca
167,167,Dendroica magnolia
168,168,Dendroica palmarum
169,169,Dendroica pensylvanica
170,170,Dendroica petechia
171,171,Dendroica striata
172,172,Dendroica tigrina
173,173,Dendroica townsendi
174,174,Dendroica virens
175,175,Geothlypis trichas
176,176,Mniotilta varia
177,177,Oporornis agilis
178,178,Oporornis formosus
179,179,Oporornis philadelphia
180,180,Parula americana
181,181,Seiurus aurocapillus
182,182,Seiurus noveboracensis
183,183,Setophaga ruticilla
184,184,Vermivora celata
185,185,Vermivora chrysoptera
186,186,Vermivora peregrina
187,187,Vermivora pinus
188,188,Vermivora ruficapilla
189,189,Wilsonia canadensis
190,190,Wilsonia citrina
191,191,Wilsonia pusilla
192,192,Polioptila caerulea
193,193,Regulus calendula
194,194,Regulus satrapa
195,195,Sitta canadensis
196,196,Sitta carolinensis
197,197,Cistothorus palustris
198,198,Cistothorus platensis
199,199,Troglodytes troglodytes
200,200,Catharus fuscescens
201,201,Catharus guttatus
202,202,Catharus minimus
203,203,Catharus ustulatus
204,204,Hylocichla mustelina
205,205,Sialia sialis
206,206,Turdus migratorius
207,207,Contopus cooperi
208,208,Contopus virens
209,209,Empidonax alnorum
210,210,Empidonax flaviventris
211,211,Empidonax minimus
212,212,Empidonax traillii
213,213,Myiarchus crinitus
214,214,Sayornis phoebe
215,215,Tyrannus tyrannus
216,216,Vireo flavifrons
217,217,Vireo gilvus
218,218,Vireo griseus
219,219,Vireo olivaceus
220,220,Vireo philadelphicus
221,221,Vireo solitarius
222,222,Ardea alba
223,223,Ardea herodias
224,224,Botaurus lentiginosus
225,225,Butorides virescens
226,226,Egretta caerulea
227,227,Egretta thula
228,228,Egretta tricolor
229,229,Ixobrychus exilis
230,230,Nyctanassa violacea
231,231,Nycticorax nycticorax
232,232,Nycticorax violaceus
233,233,Plegadis falcinellus
234,234,Colaptes auratus
235,235,Dryocopus pileatus
236,236,Melanerpes carolinus
237,237,Picoides arcticus
238,238,Picoides pubescens
239,239,Picoides tridactylus
240,240,Picoides villosus
241,241,Sphyrapicus varius
242,242,Podilymbus podiceps
243,243,Aegolius acadicus
244,244,Asio otus
245,245,Bubo virginianus
246,246,Nyctea scandiaca
247,247,Otus asio
248,248,Strix varia
249,249,Surnia ulula
250,250,Phalacrocorax auritus
251,251,Diadophis punctatus
252,252,Lampropeltis triangulum
253,253,Liochlorophis vernalis
254,254,Storeria occipitomaculata
255,255,Thamnophis sirtalis
256,256,Chelydra serpentina
257,257,Chrysemys picta
258,258,Bufo americanus
259,259,Pseudacris crucifer
260,260,Rana catesbeiana
261,261,Rana clamitans
262,262,Rana palustris
263,263,Rana sylvatica
264,264,Ambystoma maculatum
265,265,Desmognathus fuscus
266,266,Eurycea bislineata
267,267,Hemidactylium scutatum
268,268,Notophthalmus viridescens
269,269,Antilocapra americana
270,270,Ovis canadensis
271,271,Cervus canadensis
272,272,Odocoileus hemionus
273,273,Canis latrans
274,274,Urocyon cinereoargenteus
275,275,Vulpes macrotis
276,276,Vulpes vulpes
277,277,Lynx rufus
278,278,Puma concolor
279,279,Mephitis mephitis
280,280,Spilogale gracilis
281,281,Lontra canadensis
282,282,Taxidea taxus
283,283,Bassariscus astutus
284,284,Procyon lotor
285,285,Ursus americanus
286,286,Nyctinomops macrotis
287,287,Tadarida brasiliensis
288,288,Antrozous pallidus
289,289,Lasiurus cinereus
290,290,Myotis californicus
291,291,Myotis yumanensis
292,292,Pipistrellus hesperus
293,293,Lepus californicus
294,294,Sylvilagus audubonii
295,295,Castor canadensis
296,296,Neotoma cinerea
297,297,Neotoma lepida
298,298,Ondatra zibethicus
299,299,Onychomys leucogaster
300,300,Peromyscus boylii
301,301,Peromyscus crinitus
302,302,Peromyscus maniculatus
303,303,Peromyscus truei
304,304,Reithrodontomys megalotis
305,305,Erethizon dorsatum
306,306,Thomomys bottae
307,307,Dipodomys ordii
308,308,Perognathus flavescens
309,309,Ammospermophilus leucurus
310,310,Cynomys leucurus
311,311,Neotamias rufus
312,312,Spermophilus variegatus
313,313,Accipiter cooperii
314,314,Accipiter gentilis
315,315,Accipiter striatus
316,316,Aquila chrysaetos
317,317,Buteo jamaicensis
318,318,Buteo swainsoni
319,319,Circus cyaneus
320,320,Haliaeetus leucocephalus
321,321,Cathartes aura
322,322,Gymnogyps californianus
323,323,Pandion haliaetus
324,324,Anas americana
325,325,Anas crecca
326,326,Anas cyanoptera
327,327,Anas platyrhynchos
328,328,Branta canadensis
329,329,Bucephala clangula
330,330,Mergus merganser
331,331,Aeronautes saxatalis
332,332,Archilochus alexandri
333,333,Selasphorus platycercus
334,334,Selasphorus rufus
335,335,Chordeiles minor
336,336,Phalaenoptilus nuttallii
337,337,Charadrius vociferus
338,338,Actitis macularius
339,339,Calidris minutilla
340,340,Gallinago gallinago
341,341,Numenius americanus
342,342,Tringa solitaria
343,343,Columba livia
344,344,Zenaida macroura
345,345,Ceryle alcyon
346,346,Coccyzus americanus
347,347,Falco columbarius
348,348,Falco mexicanus
349,349,Falco peregrinus
350,350,Falco sparverius
351,351,Alectoris chukar
352,352,Meleagris gallopavo
353,353,Porzana carolina
354,354,Rallus limicola
355,355,Psaltriparus minimus
356,356,Eremophila alpestris
357,357,Bombycilla cedrorum
358,358,Passerina amoena
359,359,Passerina amoena X cyanea
360,360,Passerina caerulea
361,361,Passerina cyanea
362,362,Pheucticus ludovicianus
363,363,Pheucticus melanocephalus
364,364,Piranga ludoviciana
365,365,Certhia americana
366,366,Aphelocoma californica
367,367,Corvus brachyrhynchos
368,368,Corvus corax
369,369,Cyanocitta stelleri
370,370,Gymnorhinus cyanocephalus
371,371,Nucifraga columbiana
372,372,Pica hudsonia
373,373,Amphispiza belli
374,374,Amphispiza bilineata
375,375,Calamospiza melanocorys
376,376,Chondestes grammacus
377,377,Junco hyemalis caniceps
378,378,Junco hyemalis hyemalis
379,379,Junco hyemalis mearnsi
380,380,Junco hyemalis oreganus
381,381,Melospiza georgiana
382,382,Melospiza lincolnii
383,383,Melospiza melodia
384,384,Passerculus sandwichensis
385,385,Pipilo chlorurus
386,386,Pipilo maculatus
387,387,Pooecetes gramineus
388,388,Spizella arborea
389,389,Spizella breweri
390,390,Spizella passerina
391,391,Zonotrichia albicollis
392,392,Zonotrichia atricapilla
393,393,Zonotrichia leucophrys
394,394,Zonotrichia querula
395,395,Carduelis flammea
396,396,Carduelis pinus
397,397,Carduelis psaltria
398,398,Carduelis tristis
399,399,Carpodacus cassinii
400,400,Carpodacus mexicanus
401,401,Carpodacus purpureus
402,402,Coccothraustes vespertinus
403,403,Leucosticte atrata
404,404,Leucosticte tephrocotis
405,405,Hirundo rustica
406,406,Petrochelidon pyrrhonota
407,407,Riparia riparia
408,408,Stelgidopteryx serripennis
409,409,Tachycineta bicolor
410,410,Tachycineta thalassina
411,411,Agelaius phoeniceus
412,412,Euphagus cyanocephalus
413,413,Icterus bullockii
414,414,Icterus parisorum
415,415,Molothrus ater
416,416,Sturnella neglecta
417,417,Xanthocephalus xanthocephalus
418,418,Lanius excubitor
419,419,Lanius ludovicianus
420,420,Dumetella carolinensis
421,421,Mimus polyglottos
422,422,Oreoscoptes montanus
423,423,Toxostoma bendirei
424,424,Toxostoma rufum
425,425,Anthus rubescens
426,426,Baeolophus ridgwayi
427,427,Poecile atricapillus
428,428,Poecile gambeli
429,429,Dendroica coronata
430,430,Dendroica nigrescens
431,431,Dendroica petechia
432,432,Dendroica townsendi
433,433,Geothlypis trichas
434,434,Icteria virens
435,435,Oporornis tolmiei
436,436,Setophaga ruticilla
437,437,Vermivora celata
438,438,Vermivora luciae
439,439,Vermivora ruficapilla
440,440,Vermivora virginiae
441,441,Wilsonia pusilla
442,442,Passer domesticus
443,443,Polioptila caerulea
444,444,Regulus calendula
445,445,Regulus satrapa
446,446,Sitta canadensis
447,447,Sitta carolinensis
448,448,Sturnus vulgaris
449,449,Catherpes mexicanus
450,450,Cistothorus palustris
451,451,Salpinctes obsoletus
452,452,Thryomanes bewickii
453,453,Troglodytes aedon
454,454,Catharus guttatus
455,455,Myadestes townsendi
456,456,Sialia currucoides
457,457,Sialia mexicana
458,458,Turdus migratorius
459,459,Contopus cooperi
460,460,Contopus sordidulus
461,461,Empidonax oberholseri
462,462,Empidonax occidentalis
463,463,Empidonax traillii
464,464,Empidonax wrightii
465,465,Myiarchus cinerascens
466,466,Sayornis nigricans
467,467,Sayornis saya
468,468,Tyrannus verticalis
469,469,Tyrannus vociferans
470,470,Vireo gilvus
471,471,Vireo plumbeus
472,472,Vireo vicinior
473,473,Ardea alba
474,474,Ardea herodias
475,475,Egretta thula
476,476,Nycticorax nycticorax
477,477,Colaptes auratus
478,478,Melanerpes lewis
479,479,Picoides pubescens
480,480,Picoides villosus
481,481,Sphyrapicus nuchalis
482,482,Sphyrapicus thyroideus
483,483,Sphyrapicus varius
484,484,Aechmophorus occidentalis
485,485,Podiceps nigricollis
486,486,Asio flammeus
487,487,Asio otus
488,488,Athene cunicularia
489,489,Bubo virginianus
490,490,Megascops kennicottii
491,491,Hypsiglena torquata
492,492,Masticophis taeniatus
493,493,Pituophis catenifer
494,494,Thamnophis cyrtopsis
495,495,Thamnophis elegans
496,496,Crotaphytus collaris
497,497,Gambelia wislizenii
498,498,Phrynosoma hernandesi
499,499,Sceloporus graciosus
500,500,Sceloporus tristichus
501,501,Urosaurus ornatus
502,502,Uta stansburiana
503,503,Cnemidophorus tigris
504,504,Crotalus oreganus concolor
505,505,Bufo punctatus
506,506,Bufo woodhousii
507,507,Rana catesbeiana
508,508,Rana pipiens
509,509,Spea intermontana
510,510,Antilocapra americana
511,511,Bison bison
512,512,Ovis canadensis
513,513,Odocoileus hemionus
514,514,Odocoileus virginianus
515,515,Canis latrans
516,516,Urocyon cinereoargenteus
517,517,Vulpes velox
518,518,Vulpes vulpes
519,519,Lynx rufus
520,520,Puma concolor
521,521,Mephitis mephitis
