fire_id,park_agency,park_name,fire_name,fire_year,cause_description,fire_size,fire_size_class,latitude,longitude,state
238468,NPS,Denali National Park & Preserve,MOOSE CRK1,1993,Lightning,11249.0,G,63.6828,-151.0856,AK
238469,NPS,Denali National Park & Preserve,TOLKAT RV,1993,Lightning,3554.0,F,63.9162,-150.119,AK
238470,NPS,Denali National Park & Preserve,KANTISHNA,1996,Miscellaneous,1.0,B,63.5242,-150.9612,AK
238471,NPS,Denali National Park & Preserve,DEPOT,1997,Smoking,0.1,A,63.7359,-148.914,AK
238472,NPS,Denali National Park & Preserve,HOTEL,1997,Smoking,0.1,A,63.7162,-148.9023,AK
238473,NPS,Denali National Park & Preserve,LIL CARIBO,1997,Lightning,108.0,D,63.8517,-150.3543,AK
238474,NPS,Denali National Park & Preserve,RUTH,1997,Lightning,100.0,D,62.6542,-150.3539,AK
238475,NPS,Denali National Park & Preserve,MONTANA CK,1998,Lightning,1.0,B,63.7143,-148.8276,AK
238476,NPS,Denali National Park & Preserve,TOUR BUS,1998,Equipment Use,0.3,B,63.7304,-149.319,AK
238477,NPS,Gates of the Arctic National Park & Preserve,KALULUKTOK,1999,Lightning,80.0,C,67.2817,-154.5708,AK
238478,NPS,Glacier Bay National Park & Preserve,EXCURSION,1993,Campfire,0.1,A,58.4338,-135.4865,AK
238479,NPS,Katmai National Park & Preserve,AMALIK BAY,1993,Debris Burning,6.0,B,58.0993,-154.5355,AK
238480,NPS,Katmai National Park & Preserve,GROSVENOR,1997,Campfire,10.0,C,58.666,-155.4521,AK
238481,NPS,Lake Clark National Park & Preserve,VANDERPOOL,1997,Structure,0.2,A,60.6327,-153.9023,AK
238482,NPS,Wrangell-St. Elias National Park & Preserve,KLAWASI,1993,Lightning,0.1,A,62.0329,-145.3521,AK
238483,NPS,Wrangell-St. Elias National Park & Preserve,CIR#930145,1993,Arson,0.1,A,61.0301,-142.1437,AK
238484,NPS,Yukon-Charley Rivers National Preserve,MONTAUK,1999,Lightning,300.0,E,65.1678,-141.5503,AK
238485,NPS,Casa Grande National Monument,JAMES,1992,Fireworks,0.1,A,32.99302,-111.53117,AZ
238486,NPS,Chiricahua National Monument,ORGAN,1993,Lightning,0.1,A,32.02005,-109.35394,AZ
238487,NPS,Chiricahua National Monument,ELLERBY,1994,Lightning,1.0,B,31.98374,-109.37946,AZ
238488,NPS,Chiricahua National Monument,QUILLIAH,1994,Lightning,0.1,A,32.15155,-109.46814,AZ
238489,NPS,Chiricahua National Monument,BONEYARD,1994,Campfire,0.1,A,32.00299,-109.36915,AZ
238490,NPS,Chiricahua National Monument,CEMETARY,1994,Lightning,0.4,B,32.02903,-109.46497,AZ
238491,NPS,Chiricahua National Monument,PICKET #1,1995,Lightning,0.1,A,32.02714,-109.37562,AZ
238492,NPS,Chiricahua National Monument,MOGUI,1996,Smoking,10.0,C,32.07548,-109.51574,AZ
238493,NPS,Chiricahua National Monument,JESSIEJAME,1996,Lightning,1.5,B,31.98602,-109.31322,AZ
238494,NPS,Chiricahua National Monument,JJCANYON,1997,Campfire,0.1,A,31.98604,-109.31724,AZ
238495,NPS,Chiricahua National Monument,SITE13,1997,Campfire,0.1,A,32.01136,-109.35595,AZ
238496,NPS,Chiricahua National Monument,CHIMNEY,1997,Campfire,0.1,A,32.07356,-109.35998,AZ
238497,NPS,Chiricahua National Monument,KOLMINE,1997,Campfire,0.1,A,32.03056,-109.31884,AZ
238498,NPS,Chiricahua National Monument,TRASHCAN,1997,Miscellaneous,0.1,A,32.00554,-109.35614,AZ
238499,NPS,Chiricahua National Monument,BONITAPARK,1997,Debris Burning,241.0,D,32.0326,-109.3249,AZ
238500,NPS,Chiricahua National Monument,WILLOW,1997,Lightning,7.0,B,32.144,-109.37841,AZ
238501,NPS,Chiricahua National Monument,MOGUL,1997,Lightning,300.0,E,32.13181,-109.56711,AZ
238502,NPS,Chiricahua National Monument,AGAVE,1997,Lightning,0.1,A,32.02258,-109.31372,AZ
238503,NPS,Chiricahua National Monument,RIDGELINE,1997,Lightning,0.1,A,32.03261,-109.31304,AZ
238504,NPS,Chiricahua National Monument,CHARCOAL,1999,Campfire,0.1,A,32.0085,-109.37496,AZ
238505,NPS,Coronado National Memorial,MONTEZUMA,1993,Lightning,75.0,C,31.35177,-110.25064,AZ
238506,NPS,Coronado National Memorial,LIGHTNING1,1994,Lightning,0.1,A,31.35177,-110.25064,AZ
238507,NPS,Coronado National Memorial,BOUNDARY-E,1994,Lightning,0.2,A,31.3351,-110.21731,AZ
238508,NPS,Coronado National Memorial,PINYON,1997,Lightning,0.1,A,31.34412,-110.28275,AZ
238509,NPS,Grand Canyon National Park,PATTY,1992,Campfire,0.1,A,36.09819,-112.09444,AZ
238510,NPS,Grand Canyon National Park,ONEILL,1992,Campfire,0.1,A,36.06485,-112.2,AZ
238511,NPS,Grand Canyon National Park,SYPHER,1992,Campfire,0.1,A,36.7292,-112.0882,AZ
238512,NPS,Grand Canyon National Park,JH,1992,Campfire,0.1,A,36.09819,-112.09167,AZ
